Year,State,BallotsCountedVEP,HighestOfficeVEP,BallotsCounted,VotesHighestOffice,VEP,VAP,PctNonCitizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,StateAbbreviation
2016,Hawaii,0.432,0.423,437664,428937,1012860,1120465,0.091,5474,0,0,5474,,HI
2016,Idaho,0.609,0.592,710545,690255,1166706,1253925,0.044,7949,32409,5054,31476,,ID
2016,Illinois,0.631,0.622,5666118,5589631,8985443,9866799,0.085,42017,0,0,42017,,IL
2016,Indiana,0.579,0.564,2807676,2734958,4849937,5063393,0.037,24948,0,0,24948,,IN
2016,Iowa,0.691,0.684,1581371,1566031,2288536,2406915,0.036,8888,29254,6051,31614,,IA
2016,Kansas,0.597,0.577,1225667,1184402,2054025,2192423,0.052,9613,16654,4830,23936,,KS
2016,Kentucky,0.596,0.586,1955195,1924149,3282420,3430652,0.024,22868,48457,15383,65871,,KY
2016,Louisiana,0.606,0.6,2049531,2029032,3384435,3571652,0.027,35543,40174,30907,89349,,LA
2016,Maine,0.729,0.707,771892,747927,1058372,1078037,0.018,0,0,0,0,,ME
2016,Maryland,0.67,0.664,2807322,2781446,4189616,4670900,0.088,19382,72529,10305,71029,,MD
2016,Massachusetts,0.683,0.672,3378801,3325046,4948028,5442458,0.089,8780,0,0,8780,,MA
2016,Michigan,0.657,0.647,4874619,4799284,7420628,7744567,0.037,40502,0,0,40502,,MI
2016,Minnesota,0.747,0.741,2968281,2944813,3973204,4240423,0.046,10158,96852,7075,72439,,MN
2016,Mississippi,,0.552,,1209357,2191241,2268089,0.014,19150,29067,8645,44363,,MS
2016,Missouri,0.622,0.622,2811549,2808605,4517925,4710784,0.025,31956,43799,17792,74713,,MO
2016,Montana,0.643,0.618,516901,497147,804250,817702,0.012,3795,0,0,3795,,MT
2016,Nebraska,0.64,0.628,860573,844227,1343821,1436437,0.055,5079,13489,1088,13856,,NE
2016,Nevada,0.574,0.574,1125429,1125385,1961587,2276281,0.126,13742,13724,5261,26826,,NV
2016,New Hampshire,0.725,0.714,755850,744296,1042795,1076739,0.029,2818,0,0,2818,,NH
2016,New Jersey,0.658,0.644,3957303,3874046,6013656,6959892,0.120,18504,140589,15128,113768,,NJ
2016,New Mexico,0.549,0.545,804043,798319,1464515,1591069,0.069,6914,12714,2780,16941,,NM
2016,New York,0.572,0.568,7786881,7721453,13604645,15557982,0.120,46416,0,44426,90842,,NY
2016,North Carolina,0.649,0.645,4769640,4741564,7352501,7880013,0.055,34357,82466,12726,94089,,NC
2016,North Dakota,0.617,0.608,349945,344360,566783,581188,0.022,1791,0,0,1791,,ND
2016,Ohio,0.642,0.629,5607641,5496487,8736808,9007953,0.024,51666,0,0,51666,,OH
2016,Oklahoma,,0.523,,1452992,2778219,2965905,0.047,26691,33562,1895,47716,,OK
2016,Oregon,0.68,0.662,2056310,2001336,3024174,3244277,0.063,15166,0,0,15166,,OR
2016,Pennsylvania,,0.636,,6165478,9691160,10108486,0.037,48098,0,0,48098,,PA
2016,Rhode Island,0.597,0.591,469589,464144,786012,848975,0.071,3038,0,0,3038,,RI
2016,South Carolina,0.573,0.567,2123584,2103027,3709283,3883145,0.034,20350,32634,4347,43298,,SC
2016,South Dakota,0.6,0.586,378995,370093,631173,653841,0.025,3744,0,2687,6431,,SD
2016,Tennessee,0.518,0.511,2545271,2508027,4909426,5164969,0.035,27906,62609,12092,75685,,TN
2016,Texas,0.514,0.514,8975000,8969226,17448910,20671564,0.133,155327,374285,111287,479956,,TX
2016,Utah,0.579,0.568,1152369,1131430,1991885,2144784,0.069,5846,0,0,5846,,UT
2016,Vermont,0.648,0.637,320467,315067,494871,506048,0.022,0,0,0,0,,VT
2016,Virginia,,0.661,,3984631,6027152,6551390,0.069,36959,60821,1650,73277,,VA
2016,Washington,0.657,0.647,3363440,3317019,5123020,5691833,0.086,18335,89317,11322,80568,,WA
2016,West Virginia,,0.502,,714423,1423031,1453201,0.011,7137,6523,3550,14405,,WV
2016,Wisconsin,,0.695,,2976150,4285071,4495783,0.032,22889,44489,20401,68649,,WI
2016,Wyoming,0.602,0.595,258788,255849,429682,446396,0.024,2323,4666,842,5825,,WY
