Year,State,BallotsCountedVEP,HighestOfficeVEP,BallotsCounted,VotesHighestOffice,VAP,VEP,PctNonCitizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,StateAbbreviation
2008,New Jersey,0.677,0.67,3910220,3868237,6651284,5776527,0.117,25953,128737,15849,98246,110559,NJ
2008,New Mexico,0.612,0.609,833365,830158,1505830,1362629,0.083,6402,20883,3724,18706,31444,NM
2008,New York,0.596,0.59,7721718,7640640,14876971,12948969,0.124,60347,0,52225,86460,263787,NY
2008,North Carolina,0.661,0.655,4354571,4310789,7096503,6584302,0.059,39482,109678,3409,96026,133483,NC
2008,North Dakota,0.636,0.627,321133,316621,512768,504762,0.013,1452,0,0,1452,11179,ND
2008,Ohio,0.678,0.669,5773777,5698260,8757453,8513079,0.022,51686,0,0,51686,174703,OH
2008,Oklahoma,0.563,0.558,1474694,1462661,2770219,2619121,0.040,25864,27940,3073,41371,57046,OK
2008,Oregon,0.683,0.677,1845251,1827864,2916246,2700327,0.069,14167,0,0,14167,63480,OR
2008,Pennsylvania,0.642,0.636,6071357,6012692,9813664,9457942,0.031,49215,0,0,49215,203791,PA
2008,Rhode Island,0.623,0.618,475428,471766,825786,763608,0.070,4045,0,0,4045,13827,RI
2008,South Carolina,0.582,0.58,1927153,1920969,3473488,3311044,0.034,24326,41254,1947,45927,72241,SC
2008,South Dakota,0.656,0.647,387449,381975,602539,590720,0.012,3342,0,2720,4702,20144,SD
2008,Tennessee,0.574,0.57,2618238,2599749,4771926,4563192,0.031,27228,58109,10578,61572,127930,TN
2008,Texas,,0.541,,8077795,17756112,14929810,0.135,172506,427080,102921,437507,549216,TX
2008,Utah,0.571,0.56,971185,952370,1840087,1700286,0.072,6552,0,0,6552,31783,UT
2008,Vermont,0.677,0.673,326822,325046,492610,482677,0.020,0,0,0,0,10546,VT
2008,Virginia,0.676,0.67,3753059,3723260,6022123,5555415,0.066,38276,53614,4471,67319,124689,VA
2008,Washington,0.673,0.666,3071587,3036878,5032960,4561163,0.078,17926,113134,11768,80377,138296,WA
2008,West Virginia,0.512,0.499,731691,713362,1453045,1430439,0.008,6059,8283,2005,11203,33788,WV
2008,Wisconsin,0.727,0.724,2997086,2983417,4306876,4120694,0.030,23379,50418,18105,57641,78721,WI
2008,Wyoming,0.631,0.628,256035,254658,418040,405732,0.017,2084,5438,727,5167,13832,WY
2010,United States,0.418,0.41,90912015,89099476,236022989,217551109,0.085,1512225,1321051,629644,3244035,4972217,US
2010,Alabama,0.433,0.43,1503232,1494273,3661784,3472582,0.028,31587,50622,9006,86889,,AL
2010,Alaska,0.529,0.519,261128,256192,528744,493764,0.040,5576,6959,2089,13601,,AK
2010,Arizona,0.416,0.41,1750840,1727791,4807398,4209544,0.103,35368,52316,7993,96443,,AZ
2010,Arkansas,0.379,0.375,789773,781333,2216171,2081156,0.037,16047,26995,21106,53752,,AR
2010,California,0.459,0.44,10529134,10095485,28167234,22946053,0.177,146412,0,105133,217629,,CA
2010,Colorado,0.517,0.506,1828323,1787730,3843619,3533054,0.073,21559,0,11014,28322,,CO
2010,Connecticut,0.459,0.459,1153872,1153115,2765843,2512981,0.084,18553,0,2894,20768,,CT
2010,Delaware,0.49,0.475,316754,307402,696940,646969,0.055,6307,4448,560,11326,,DE
2010,District of Columbia,0.296,0.289,135846,132656,506765,458619,0.095,0,0,0,0,,DC
2010,Florida,0.422,0.417,5473787,5411106,14916066,12961184,0.112,97944,165760,4093,272113,,FL
2010,Georgia,0.406,0.398,2623035,2576161,7255919,6464845,0.074,54710,185286,25091,254264,,GA
2010,Hawaii,0.403,0.399,386302,382563,1062593,959531,0.091,5813,0,0,5912,,HI
2010,Idaho,0.429,0.423,459079,452535,1147210,1069446,0.047,7268,13721,3957,23131,,ID
2010,Illinois,0.431,0.424,3792770,3729989,9735944,8798829,0.091,46314,0,0,48418,,IL
2010,Indiana,0.381,0.371,1791832,1744481,4896656,4697111,0.035,27481,0,0,28028,,IN
2010,Iowa,0.507,0.499,1133429,1116063,2328262,2234516,0.032,9276,8862,3197,19916,,IA
2010,Kansas,0.426,0.417,857658,838790,2137815,2011497,0.052,8741,3704,5063,15287,,KS
2010,Kentucky,0.443,0.424,1417995,1356468,3332204,3198093,0.024,20385,25688,14628,53546,,KY
2010,Louisiana,0.4,0.389,1298649,1264994,3438247,3249524,0.027,39335,42599,26202,95145,,LA
2010,Maine,0.559,0.552,580584,572766,1055605,1038201,0.016,0,0,0,0,,ME
2010,Maryland,0.467,0.464,1868179,1857880,4449617,4001034,0.088,21992,26164,13195,55407,,MD
2010,Massachusetts,0.494,0.489,2319963,2297039,5152976,4693670,0.087,10429,0,0,11312,,MA
2010,Michigan,0.451,0.445,3268217,3226088,7555742,7245281,0.035,43499,0,0,44113,,MI
2010,Minnesota,0.558,0.554,2123369,2107021,4041199,3802677,0.045,9281,42661,5807,55361,,MN
2010,Mississippi,,0.37,,788549,2220094,2129334,0.018,21067,26793,6434,51077,,MS
2010,Missouri,0.457,0.445,1997271,1943899,4581260,4366435,0.026,30178,54916,19421,95250,,MO
2010,Montana,0.484,0.475,367096,360341,770601,758653,0.011,3706,0,0,3716,,MT
2010,Nebraska,0.387,0.375,503514,487988,1375023,1301483,0.047,4324,4080,941,9138,,NE
2010,Nevada,0.414,0.413,723515,721404,2046400,1747288,0.135,12653,8067,4964,23202,,NV
2010,New Hampshire,0.461,0.457,461423,456588,1033023,999918,0.029,2694,0,0,2761,,NH
2010,New Jersey,0.377,0.364,2200974,2121584,6750869,5834037,0.122,25007,57517,15563,90306,,NJ
2010,New Mexico,0.447,0.428,630013,602827,1552212,1408872,0.077,6541,14855,3146,23087,,NM
2010,New York,0.363,0.355,4763899,4658586,15111583,13135048,0.125,50668,0,48542,80927,,NY
2010,North Carolina,0.398,0.392,2700706,2660079,7310093,6785463,0.061,38341,36740,3621,78667,,NC
2010,North Dakota,0.466,0.462,241039,238812,527497,516974,0.017,1480,0,0,1487,,ND
2010,Ohio,0.462,0.449,3956028,3852453,8826908,8571952,0.023,51116,0,0,51712,,OH
2010,Oklahoma,0.391,0.388,1043507,1034767,2839030,2666767,0.044,25893,20601,2627,48167,,OK
2010,Oregon,0.539,0.527,1487210,1453548,2984806,2760607,0.070,12262,0,0,14014,,OR
2010,Pennsylvania,0.424,0.417,4055336,3987551,9946290,9565822,0.033,50116,0,0,51264,,PA
2010,Rhode Island,0.454,0.448,346357,342290,829913,763534,0.076,3357,0,0,3357,,RI
2010,South Carolina,0.403,0.397,1365480,1344198,3571250,3388417,0.038,23074,21144,6412,47928,,SC
2010,South Dakota,0.539,0.529,323410,317083,616113,599507,0.019,3373,0,2843,4856,,SD
2010,Tennessee,0.351,0.346,1620542,1601549,4878724,4622919,0.035,27213,52178,12157,85708,,TN
2010,Texas,0.327,0.321,5066957,4979870,18487369,15514007,0.135,164507,247136,104763,473167,,TX
2010,Utah,0.368,0.363,653274,643307,1914974,1772934,0.070,6536,0,0,6807,,UT
2010,Vermont,0.498,0.494,243617,241605,498254,488942,0.019,0,0,0,0,,VT
2010,Virginia,0.391,0.387,2214505,2189841,6194717,5660589,0.071,36020,56654,2624,95376,,VA
2010,Washington,0.543,0.532,2565589,2511094,5190736,4724350,0.083,17331,15452,6956,37165,,WA
2010,West Virginia,0.372,0.368,536493,529948,1468812,1442003,0.009,6673,6650,1796,14229,,WV
2010,Wisconsin,0.524,0.52,2185021,2171331,4365214,4172130,0.032,22724,22602,19572,55112,,WI
2010,Wyoming,0.46,0.455,190822,188463,430673,414536,0.024,2059,3231,682,5684,,WY
2012,United States,0.586,0.58,130292355,129070906,240957993,222474111,0.084,1473412,2342582,637410,3352390,5127418,US
2012,Alabama,,0.586,,2074338,3707440,3539217,0.026,32232,57993,8616,71584,,AL
2012,Alaska,0.589,0.587,301694,300495,543763,511792,0.038,5633,7173,1882,11317,,AK
2012,Arizona,0.53,0.526,2323579,2306559,4959270,4387900,0.099,35188,72452,7460,81048,,AZ
2012,Arkansas,0.511,0.507,1078548,1069468,2242740,2109847,0.035,14471,30122,23372,53808,,AR
2012,California,0.557,0.551,13202158,13038547,28913129,23681837,0.174,119455,0,89287,208742,,CA
2012,Colorado,0.706,0.699,2596173,2569522,3981208,3675871,0.069,18807,0,11458,30265,,CO
2012,Connecticut,0.614,0.613,1560640,1558960,2801375,2543202,0.085,16935,0,2793,19728,,CT
2012,Delaware,,0.623,,413921,715708,663967,0.051,6610,15641,601,15501,,DE
2012,District of Columbia,0.616,0.615,294254,293764,528848,477582,0.097,0,0,0,0,,DC
2012,Florida,0.633,0.628,8538264,8474179,15380947,13495057,0.108,91954,240869,4538,224153,,FL
2012,Georgia,0.593,0.59,3919355,3900050,7452696,6606607,0.072,52737,442061,24761,311790,,GA
2012,Hawaii,0.445,0.442,437159,434697,1088335,982902,0.092,5544,0,0,5544,,HI
2012,Idaho,0.61,0.598,666290,652274,1173727,1091410,0.046,7985,31606,3848,28584,,ID
2012,Illinois,0.593,0.589,5279752,5242014,9827043,8899143,0.089,49348,0,0,49348,,IL
2012,Indiana,0.56,0.552,2663368,2624534,4960376,4755291,0.036,28266,0,0,28266,,IN
2012,Iowa,0.706,0.703,1589951,1582180,2356209,2251748,0.032,8470,29333,5151,29167,,IA
2012,Kansas,0.582,0.569,1182771,1156254,2162442,2030686,0.050,9346,17021,5126,23493,,KS
2012,Kentucky,0.562,0.557,1815843,1797212,3368684,3229185,0.022,21863,54511,14419,65173,,KY
2012,Louisiana,0.608,0.602,2014548,1994065,3495847,3311626,0.027,40047,41298,28946,90881,,LA
2012,Maine,0.693,0.682,724758,713180,1064779,1046008,0.018,0,0,0,0,,ME
2012,Maryland,0.673,0.666,2734062,2707327,4553853,4063582,0.089,20871,96640,13195,85285,,MD
2012,Massachusetts,0.662,0.659,3184196,3167767,5263550,4809675,0.084,10283,0,0,10283,,MA
2012,Michigan,0.654,0.647,4780701,4730961,7625576,7312725,0.035,43019,0,0,43019,,MI
2012,Minnesota,0.764,0.76,2950780,2936561,4114820,3861598,0.044,9383,108157,6006,72712,,MN
2012,Mississippi,,0.593,,1285584,2246931,2166825,0.015,22305,30768,6804,45416,,MS
2012,Missouri,,0.622,,2757323,4628500,4432957,0.025,30714,55470,20672,80785,,MO
2012,Montana,0.635,0.625,491966,484048,785454,774476,0.009,3592,0,0,3592,,MT
2012,Nebraska,0.611,0.603,804245,794379,1396507,1316915,0.047,4466,14260,1383,13407,,NE
2012,Nevada,0.565,0.564,1016664,1014918,2105976,1800969,0.133,12883,11321,5379,24262,,NV
2012,New Hampshire,0.709,0.702,718700,710972,1047978,1013420,0.030,2672,0,0,2672,,NH
2012,New Jersey,0.622,0.615,3683638,3640292,6847503,5918182,0.121,21759,114886,14987,97636,,NJ
2012,New Mexico,0.548,0.546,786522,783757,1573400,1436363,0.073,6553,21381,5078,22963,,NM
2012,New York,0.535,0.531,7128852,7074723,15344671,13324107,0.125,49889,0,46222,96111,,NY
2012,North Carolina,0.654,0.648,4542488,4505372,7496980,6947954,0.061,35567,96070,4359,90843,,NC
2012,North Dakota,0.604,0.598,325564,322627,549955,539164,0.017,1500,0,0,1500,,ND
2012,Ohio,0.651,0.645,5632423,5580822,8896930,8649495,0.022,50313,0,0,50313,,OH
2012,Oklahoma,,0.492,,1334872,2885093,2713268,0.045,25225,25506,2310,41053,,OK
2012,Oregon,0.642,0.631,1820507,1789270,3050747,2836101,0.066,13607,0,0,13607,,OR
2012,Pennsylvania,,0.595,,5742040,10037099,9651432,0.033,50054,0,0,50054,,PA
2012,Rhode Island,,0.58,,446049,834983,768918,0.075,3249,0,0,3249,,RI
2012,South Carolina,0.568,0.563,1981516,1964118,3662322,3486838,0.035,21895,34945,6116,46532,,SC
2012,South Dakota,0.601,0.593,368270,363815,631472,613190,0.019,3574,0,2761,6335,,SD
2012,Tennessee,0.523,0.519,2479733,2458577,4976284,4736084,0.033,28135,64430,13138,75421,,TN
2012,Texas,,0.496,,7993851,19185395,16119973,0.135,157564,405473,112288,484753,,TX
2012,Utah,0.561,0.555,1028786,1017440,1978956,1833339,0.070,6611,0,0,6611,,UT
2012,Vermont,0.612,0.607,301793,299290,502242,493355,0.018,0,0,0,0,,VT
2012,Virginia,0.666,0.661,3888186,3854489,6348827,5834676,0.071,36425,52956,1983,66475,,VA
2012,Washington,0.658,0.648,3172939,3125516,5329782,4822060,0.082,16355,88339,8895,72070,,WA
2012,West Virginia,,0.463,,670438,1472642,1447066,0.008,7052,8573,2052,13648,,WV
2012,Wisconsin,0.733,0.729,3084115,3068434,4417273,4209370,0.032,21987,46328,20023,66564,,WI
2012,Wyoming,0.59,0.586,250701,249061,441726,425142,0.025,2163,5162,762,5661,,WY
2014,United States,0.367,0.36,83262122,81687059,245838140,227157964,0.083,1493706,2298993,548576,3329718,5345814,US
2014,Alabama,0.332,0.329,1191274,1180413,3738721,3588783,0.026,31691,53640,8097,69826,,AL
2014,Alaska,0.548,0.542,285431,282382,550837,520562,0.039,5216,7077,2210,11389,,AK
2014,Arizona,0.341,0.334,1537671,1506416,5119512,4510186,0.097,37516,73232,7502,86028,,AZ
