StateFIPS,PUMA,CongressionalDistrict,StateAbbreviation,Population2016,PUMAWgt
6,7105,8,CA,66695.756,0.462
6,7105,31,CA,77786.303,0.538
6,7106,31,CA,91843.232,0.851
6,7106,35,CA,16108.476,0.149
6,7107,8,CA,48701.877,0.436
6,7107,31,CA,63064.803,0.564
6,7108,31,CA,178114.377,1
6,7109,31,CA,69415.027,0.609
6,7109,35,CA,44629.279,0.391
6,7110,31,CA,3210.339,0.029
6,7110,35,CA,108391.25,0.971
6,7111,8,CA,23.134,0
6,7111,31,CA,173665.329,1
6,7111,35,CA,0,0
6,7112,27,CA,34453.568,0.271
6,7112,31,CA,46501.012,0.366
6,7112,35,CA,46266.52,0.364
6,7113,35,CA,175895.637,1
6,7114,35,CA,83904.138,0.514
6,7114,39,CA,79306.824,0.486
6,7115,8,CA,0,0
6,7115,31,CA,16291.443,0.132
6,7115,35,CA,107194.602,0.868
6,7301,49,CA,204330.163,1
6,7301,50,CA,3.216,0
6,7302,49,CA,913.227,0.007
6,7302,50,CA,115498.511,0.923
6,7302,51,CA,8675.653,0.069
6,7303,49,CA,106487.366,0.929
6,7303,50,CA,8170.806,0.071
6,7304,49,CA,122323.058,0.995
6,7304,50,CA,632.399,0.005
6,7305,49,CA,5066.693,0.041
6,7305,50,CA,118751.613,0.959
6,7306,50,CA,147154.889,0.999
6,7306,52,CA,192.935,0.001
6,7307,50,CA,113010.719,0.999
6,7307,52,CA,108.258,0.001
6,7308,50,CA,1253.007,0.009
6,7308,52,CA,132445.725,0.991
6,7309,49,CA,118025.962,0.681
6,7309,50,CA,4362.479,0.025
6,7309,52,CA,50873.796,0.294
6,7310,49,CA,5187.813,0.029
6,7310,51,CA,0,0
6,7310,52,CA,172345.795,0.962
6,7310,53,CA,1632.446,0.009
6,7311,49,CA,7074.291,0.059
6,7311,52,CA,112074.983,0.941
6,7312,49,CA,8481.646,0.072
6,7312,52,CA,109441.418,0.928
6,7313,50,CA,133101.704,0.707
6,7313,52,CA,0,0
6,7313,53,CA,55199.831,0.293
6,7314,52,CA,46176.895,0.291
